0.598	0.516
0.987	0.973
1.277	1.082
1.172	0.946
1.095	0.898
1.081	0.874
1.026	0.814
1.006	0.762
0.874	0.614
0.653	0.421
0.500	0.369
0.525	0.377
0.622	0.504
1.011	0.939
1.319	1.123
1.261	1.033
1.222	0.935
1.130	0.860
1.086	0.793
0.981	0.654
0.839	0.505
0.698	0.354
0.577	0.301
0.591	0.309
0.660	0.414
0.864	0.707
0.824	0.833
0.727	0.800
0.679	0.703
0.657	0.600
0.665	0.566
0.697	0.496
0.710	0.413
0.410	0.275
0.208	0.204
0.143	0.167
0.153	0.216
0.238	0.327
0.633	0.752
0.822	0.768
0.672	0.697
0.580	0.672
0.619	0.620
0.558	0.659
0.635	0.687
0.552	0.614
0.374	0.498
0.374	0.543
0.548	0.811
0.904	1.212
1.229	1.468
1.362	1.562
1.397	1.706
1.439	1.678
1.515	1.730
1.503	1.637
1.372	1.464
1.137	1.273
0.960	1.081
0.886	1.032
0.931	1.068
1.049	1.208
1.349	1.665
1.744	1.938
1.781	1.859
1.724	1.803
1.579	1.614
1.466	1.478
1.285	1.208
1.064	1.012
0.882	0.937
0.793	0.885
0.765	0.828
0.754	0.888
0.837	1.018
1.239	1.358
1.423	1.442
1.291	1.194
1.115	1.037
0.923	0.835
0.717	0.689
0.748	0.604
0.632	0.524
0.481	0.411
0.420	0.398
0.476	0.454
0.622	0.641
1.038	1.083
1.323	1.173
1.241	1.114
1.147	0.970
1.022	0.836
0.898	0.723
0.822	0.667
0.668	0.547
0.502	0.424
0.441	0.411
0.471	0.430
0.575	0.598
0.835	0.905
1.105	1.088
1.157	1.100
1.111	0.960
1.017	0.921
0.908	0.816
0.829	0.763
0.770	0.705
0.685	0.633
0.601	0.604
0.559	0.620
0.739	0.846
1.072	1.114
1.228	1.252
1.381	1.300
1.298	1.250
1.332	1.247
1.331	1.210
1.294	1.175
1.156	0.985
1.062	0.899
0.993	0.903
1.123	1.037
1.188	1.169
1.290	1.277
1.441	1.432
1.393	1.339
1.435	1.447
1.504	1.479
1.439	1.322
1.354	1.245
1.290	1.144
1.130	1.019
1.039	0.961
0.985	0.886
1.001	0.954
1.146	1.150
1.430	1.516
1.574	1.615
1.622	1.616
1.585	1.584
1.520	1.490
1.444	1.326
1.233	1.101
1.066	0.910
0.948	0.787
0.830	0.699
0.808	0.688
0.873	0.820
1.027	0.964
1.250	1.207
1.416	1.307
1.419	1.297
1.346	1.181
1.260	1.019
1.174	1.034
1.116	0.949
1.069	0.896
0.984	0.864
0.941	0.840
0.979	0.930
1.128	1.085
1.269	1.314
1.473	1.491
1.582	1.486
1.542	1.434
1.433	1.362
1.299	1.144
1.137	0.977
0.978	0.858
0.855	0.760
0.754	0.683
0.717	0.631
0.696	0.636
0.712	0.701
0.929	0.925
1.142	1.133
1.212	1.108
1.181	1.061
1.063	0.926
0.982	0.857
0.926	0.814
0.864	0.770
0.727	0.646
0.611	0.578
0.596	0.597
0.631	0.664
0.794	0.835
1.045	1.040
1.279	1.224
1.336	1.247
1.273	1.143
1.185	1.018
1.053	0.941
0.937	0.843
0.795	0.703
0.649	0.612
0.544	0.516
0.518	0.531
0.533	0.537
0.616	0.660
0.866	0.928
1.244	1.111
1.219	1.037
1.100	0.927
0.992	0.810
0.878	0.712
0.819	0.638
0.719	0.543
0.575	0.413
0.486	0.363
0.515	0.425
0.679	0.614
0.837	0.807
0.817	0.781
0.801	0.833
0.772	0.758
0.671	0.729
0.666	0.735
0.745	0.697
0.752	0.651
0.753	0.549
0.651	0.474
0.644	0.463
0.686	0.508
0.779	0.712
1.080	1.018
1.207	1.185
1.298	1.156
1.234	1.018
1.144	0.902
1.028	0.781
0.972	0.742
0.831	0.614
0.625	0.463
0.542	0.459
0.576	0.500
0.657	0.594
0.893	0.881
1.297	1.295
1.350	1.231
1.268	1.149
1.266	1.096
1.110	0.961
1.045	0.817
0.891	0.695
0.677	0.474
0.512	0.367
0.464	0.364
0.779	0.615
0.619	0.551
0.559	0.457
0.462	0.333
0.370	0.207
0.260	0.146
0.282	0.172
0.402	0.322
0.619	0.614
0.632	0.669
0.630	0.624
0.686	0.625
0.873	0.825
1.063	0.972
1.141	1.031
1.059	0.910
0.788	0.634
0.613	0.523
0.586	0.559
0.681	0.678
0.952	0.974
1.321	1.338
1.327	1.212
1.202	1.141
1.093	0.998
1.039	0.948
1.024	0.937
0.974	0.837
0.772	0.624
0.546	0.459
0.476	0.429
0.525	0.506
0.636	0.704
1.008	1.089
1.013	0.992
0.927	0.925
0.687	0.860
0.844	0.879
0.818	0.867
0.777	0.867
0.774	0.670
0.599	0.519
0.524	0.472
0.632	0.454
0.597	0.436
0.602	0.639
0.651	0.738
0.676	0.782
0.677	0.780
0.733	0.725
0.805	0.769
0.882	0.816
0.800	0.685
0.753	0.534
0.635	0.418
0.579	0.442
0.640	0.503
0.713	0.622
1.182	1.254
1.442	1.402
1.461	1.232
1.375	1.134
1.280	0.998
1.182	1.110
1.178	1.070
1.106	0.949
0.988	0.803
